,place_name,place_id,lat,lng,type,weekday,hour,moment_value,time
65,Happy Puppy Sudirman,ChIJrX9EVxKs1TERy1Pvkk4dJPA,0.4887462,101.4540202,night_club,monday,0,29,2019-05-06 00:00:00
66,NEW PARAGON KTV POOL & CAFE,ChIJJX3PK2us1TERVOX4W6ETvQg,0.5347780999999999,101.45347740000001,night_club,monday,0,32,2019-05-06 00:00:00
67,Terminal 8,ChIJsWPnqLyu1TERctXbYsftvdE,0.5055955000000001,101.451216,night_club,monday,0,49,2019-05-06 00:00:00
68,Arena Entertaiment,ChIJGWHdnLKu1TER9_FWedco2Vo,0.5058694000000001,101.43507240000001,night_club,monday,0,55,2019-05-06 00:00:00
69,Family Box,ChIJGYaFW5Ku1TERV-hZ8QetPps,0.4994803,101.4661837,night_club,monday,0,0,2019-05-06 00:00:00
70,Club Executive CE7,ChIJJfqMZwms1TERFl6DPJfVDp0,0.528563,101.43829040000001,night_club,monday,0,47,2019-05-06 00:00:00
71,MP Club,ChIJSRPzUhKs1TERfY0QakYb8eQ,0.5318499000000001,101.4480708,night_club,monday,0,13,2019-05-06 00:00:00
72,CGV Studio Pekanbaru,ChIJYcEdBaiu1TERQJJuhdns2t8,0.5101367,101.4469543,movie_theater,monday,0,0,2019-05-06 00:00:00
73,Ciputra Seraya XXI,ChIJVfTatHiCeC4RKlB6jQtU7Lg,0.5360614,101.4301886,movie_theater,monday,0,0,2019-05-06 00:00:00
74,Cinemaxx Living World,ChIJEXOan7Gp1TERG4PKT1ntqV4,0.5002414000000001,101.4200645,movie_theater,monday,0,0,2019-05-06 00:00:00
75,Metro Plaza,ChIJt7c8oJOu1TERJ1eGqIm9wU8,0.4997860999999999,101.46378179999999,shopping_mall,monday,0,0,2019-05-06 00:00:00
76,Kedaung Table Top Plaza,ChIJyciJeTmp1TERkUcA-ZYa_-E,0.49243590000000004,101.419789,shopping_mall,monday,0,0,2019-05-06 00:00:00
77,Swalayan 999 harapan raya,ChIJZS0kMb6u1TERFlbNO2g-Gxs,0.4928907,101.4521209,supermarket,monday,0,0,2019-05-06 00:00:00
78,Colour's Mart,ChIJaaapX1uo1TERxXkY6fF0p3Q,0.4647808,101.3782361,supermarket,monday,0,0,2019-05-06 00:00:00
79,Indomaret Sudirman 422,ChIJqy2zmaSu1TERg3atYLQeud0,0.5073584,101.4503607,supermarket,monday,0,10,2019-05-06 00:00:00
80,Alfamart Kini Balu,ChIJ_41NHD2s1TERMT083HBqGqw,0.5261210999999999,101.4592768,supermarket,monday,0,0,2019-05-06 00:00:00
81,Indomaret,ChIJGb3o5ROs1TERvVixLMtEYLo,0.5297386000000001,101.4499334,supermarket,monday,0,6,2019-05-06 00:00:00
82,Lotte Wholesale Pekanbaru,ChIJ-_2DtVqp1TER0T9vmjaboOc,0.5062468999999999,101.420908,supermarket,monday,0,0,2019-05-06 00:00:00
83,Pasar Buah Pekanbaru,ChIJz5WQkb6u1TEROcnCcmB6jdA,0.5346524,101.4474015,supermarket,monday,0,0,2019-05-06 00:00:00
84,Alfamart Tuanku Tambusai 2,ChIJyfFlekap1TERfuT5iQindNg,0.5010777000000001,101.4203673,supermarket,monday,0,55,2019-05-06 00:00:00
85,Transmart Carrefour Pekanbaru,ChIJyWEmYOOr1TERCg6J8CqOomA,0.5031186000000001,101.4200232,supermarket,monday,0,0,2019-05-06 00:00:00
86,Swalayan 999 harapan raya,ChIJZS0kMb6u1TERFlbNO2g-Gxs,0.4928907,101.4521209,store,monday,0,0,2019-05-06 00:00:00
87,Naga Swalayan,ChIJjQiDPMyu1TER-VkVgSVp_k8,0.4907185999999999,101.4388513,store,monday,0,0,2019-05-06 00:00:00
88,Toserba Mama,ChIJRfl9KRKs1TERZ24eaPgtW3M,0.5292235,101.4477167,store,monday,0,0,2019-05-06 00:00:00
89,TOSERBA FHAJAR ( SWALAYAN ECERAN & GROSIR ),ChIJPTvsv42u1TERlh28FYGHenU,0.500128,101.469479,store,monday,0,0,2019-05-06 00:00:00
90,Colour's Mart,ChIJaaapX1uo1TERxXkY6fF0p3Q,0.4647808,101.3782361,store,monday,0,0,2019-05-06 00:00:00
91,V-Communication,ChIJe99uAhOs1TERbsf38JkAKCs,0.5326945,101.4481772,store,monday,0,0,2019-05-06 00:00:00
92,3Store Pekanbaru,ChIJR2fFxcKu1TERCa9y0vH1KJw,0.5355850999999998,101.4301636,store,monday,0,0,2019-05-06 00:00:00
93,Indonesian Bakery,ChIJHerhDAqs1TERUrN1gOhowUg,0.5303456999999999,101.4342577,store,monday,0,0,2019-05-06 00:00:00
94,Bandara Internasional SSK II Pekanbaru,ChIJDYL1Kzqv1TER0XfHoqGdrRU,0.46469099999999997,101.4478337,airport,tuesday,0,0,2019-05-07 00:00:00
95,Bandar Udara Internasional Syarif Kasim II Pekanbaru,ChIJQakSBOev1TERLG6Pg9un_R8,0.4645344,101.4483296,airport,tuesday,0,6,2019-05-07 00:00:00
96,Sultan Syarif Kasim II International Airport,ChIJxwFScDmv1TERljqI_TQ4_JM,0.4644616,101.44815559999999,airport,tuesday,0,6,2019-05-07 00:00:00
97,Bank Danamon Pekanbaru - Simpang Pasar Bawah,ChIJf-XeYQ2s1TERV0lMbulRGtA,0.5365985999999999,101.4433547,bank,tuesday,0,0,2019-05-07 00:00:00
98,Danamon KC WAHID HASYIM,ChIJEyqnQRKs1TERya0An_4EkhI,0.5272717,101.4481716,bank,tuesday,0,0,2019-05-07 00:00:00
99,Mandiri KCP Pekanbaru Ahmad Yani,ChIJo_t6Ww6s1TER_mgpi_PrG90,0.5195924,101.44427009999998,bank,tuesday,0,0,2019-05-07 00:00:00
100,Mandiri Pekanbaru Jalan Riau,ChIJL-gB6Yqr1TERJ5YF0ui5ja8,0.5351117,101.43770740000001,bank,tuesday,0,0,2019-05-07 00:00:00
101,Bank BNI Syariah KCP Panam,ChIJSfptz_Oo1TERYlFeYarvQBY,0.4639601,101.3972177,bank,tuesday,0,0,2019-05-07 00:00:00
102,Bank Syariah Mandiri KCP Pekanbaru Sudirman Bawah,ChIJn46FShKs1TER6f57XUZCj3o,0.5304854,101.44780820000001,bank,tuesday,0,0,2019-05-07 00:00:00
103,Bank Mandiri - KCP Pekanbaru Panam,ChIJNVYGCUSo1TER8Iyg616RTp4,0.46378909999999995,101.4097403,bank,tuesday,0,0,2019-05-07 00:00:00
104,BANK BTN KC PEKANBARU,ChIJexsI76au1TERfvSmQayPhGY,0.512274,101.4486575,bank,tuesday,0,0,2019-05-07 00:00:00
105,Happy Puppy,ChIJI4X9Y42r1TERI3V4hdkFlWA,0.535046,101.4231979,bar,tuesday,0,19,2019-05-07 00:00:00
106,PETERSELI KITCHEN,ChIJ-YOvERSs1TER1tk3upFhaLs,0.5104270000000001,101.454093,bar,tuesday,0,0,2019-05-07 00:00:00
107,Happy Puppy Sudirman,ChIJrX9EVxKs1TERy1Pvkk4dJPA,0.4887462,101.4540202,bar,tuesday,0,22,2019-05-07 00:00:00
108,Base Came Telkomsel,ChIJD83qBz2s1TERw0VjmFhUWHM,0.5268183000000001,101.45884790000001,bar,tuesday,0,17,2019-05-07 00:00:00
109,NEW PARAGON KTV POOL & CAFE,ChIJJX3PK2us1TERVOX4W6ETvQg,0.5347780999999999,101.45347740000001,bar,tuesday,0,32,2019-05-07 00:00:00
110,Bier Haus Cafe,ChIJxb7ZvvKr1TERKLhwjiUNnOc,0.5329904999999999,101.42378570000001,bar,tuesday,0,14,2019-05-07 00:00:00
111,Terminal 8,ChIJsWPnqLyu1TERctXbYsftvdE,0.5055955000000001,101.451216,bar,tuesday,0,52,2019-05-07 00:00:00
112,Brown Salon,ChIJk0pCUxKs1TER6deV7WAfOpU,0.531199,101.448033,beauty_salon,tuesday,0,0,2019-05-07 00:00:00
113,Toko Buku Gramedia - Pekanbaru,ChIJn5vmlbyu1TERMsSjQhzSOEM,0.5101001000000001,101.4498796,book_store,tuesday,0,0,2019-05-07 00:00:00
114,Bookstore Zanafa,ChIJjcHMLFmo1TER5gukebmKRwo,0.4644452999999999,101.3852567,book_store,tuesday,0,0,2019-05-07 00:00:00
115,toko buku yasperin,ChIJM7uy202p1TERBRH2gKTTLb8,0.5045050000000001,101.428722,book_store,tuesday,0,2,2019-05-07 00:00:00
116,Toko Muazzam,ChIJHcXDuWCp1TERyJEqFwY4fMQ,0.5114508,101.41018570000001,book_store,tuesday,0,0,2019-05-07 00:00:00
117,Al Mumtaz,ChIJhwvyG_So1TERs7EZamIMYL4,0.4599603,101.3600189,book_store,tuesday,0,0,2019-05-07 00:00:00
118,AZMAR FOTOCOPY,ChIJ9___WJdO1DERt4jk6o70Btw,0.6736778999999999,101.5877454,book_store,tuesday,0,0,2019-05-07 00:00:00
119,PETERSELI KITCHEN,ChIJ-YOvERSs1TER1tk3upFhaLs,0.5104270000000001,101.454093,cafe,tuesday,0,0,2019-05-07 00:00:00
120,Gerobak Kopi Rambo,ChIJ9c2iGKKu1TER_Bn7_bdrjDM,0.5086729,101.45452009999998,cafe,tuesday,0,0,2019-05-07 00:00:00
121,Kedai Kopi Kerisweet,ChIJKXglLp-u1TEReJDI44jT4rQ,0.5110669999999999,101.4587935,cafe,tuesday,0,0,2019-05-07 00:00:00
122,Temok Cafe (Bakso Temok),ChIJx9CIK6Cu1TERgvQVRCgEDbg,0.5129536000000001,101.4562927,cafe,tuesday,0,0,2019-05-07 00:00:00
123,Dapur Cokelat Pekanbaru,ChIJg5dz7xus1TERV-dqnk8lFLI,0.5207906,101.449843,cafe,tuesday,0,0,2019-05-07 00:00:00
