,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
26,Bank Negara Indonesia - KCP Tanjung Pinang,ChIJ9ewGbxOs1TERocfIwbfIquc,0.5322714,101.4500928,bank,,,,,,,
27,Mandiri Unit Mikro Pekanbaru T. TaUnit Mikrosai,ChIJXehSoK-u1TER4heXydhOjHQ,0.4991016,101.406695,bank,,,,,,,
28,BANK BTN KC PEKANBARU,ChIJexsI76au1TERfvSmQayPhGY,0.512274,101.4486575,bank,"[0, 0, 0, 0, 0, 0, 0, 0, 54, 77, 84, 74, 58, 56, 60, 49, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 54, 75, 78, 65, 54, 55, 59, 55, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 47, 69, 77, 67, 53, 49, 53, 51, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 51, 77, 81, 64, 50, 57, 65, 54, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 57, 94, 100, 69, 38, 47, 79, 68, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,Mandiri Kiosk Micro Sukaramai Pekanbaru,ChIJ34Imkaau1TER1f-yE0T4kkU,0.5287443000000001,101.44664350000001,bank,,,,,,,
30,Bank Riau Kepri,ChIJu6pudh2s1TERDjfZZ0nZEoc,0.5195327000000001,101.4472835,bank,,,,,,,
31,Bank BTN (Bank Tabungan Negara),ChIJnQFL4ISs1TERyJ5aADmNnwk,0.5605588,101.44238670000001,bank,,,,,,,
32,Happy Puppy,ChIJI4X9Y42r1TERI3V4hdkFlWA,0.535046,101.4231979,bar,"[18, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 7, 10, 11, 11, 15, 29, 44, 46, 37, 28]","[19, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 7, 10, 11, 11, 12, 19, 29, 34, 32, 26]","[20, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 5, 7, 9, 11, 13, 17, 25, 37, 45, 41, 31]","[24, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 8, 12, 16, 19, 21, 23, 31, 40, 43, 34]","[22, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 7, 9, 11, 14, 21, 32, 42, 51, 58, 56]","[39, 19, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9, 19, 31, 37, 36, 31, 36, 56, 84, 100, 88]","[58, 28, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11, 21, 32, 38, 40, 40, 44, 51, 54, 47, 32]"
33,Karaoke K'ok,ChIJdYVM6KWu1TER_n9mvbL48Co,0.5099770000000001,101.446578,bar,,,,,,,
34,PETERSELI KITCHEN,ChIJ-YOvERSs1TER1tk3upFhaLs,0.5104270000000001,101.454093,bar,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 14, 22, 26, 25, 21, 16, 16, 28, 45, 49, 35, 15]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 14, 18, 20, 25, 28, 24, 24, 37, 49, 44, 25, 9]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 24, 28, 23, 19, 24, 29, 26, 33, 54, 61, 42, 18]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 19, 24, 28, 30, 30, 29, 32, 40, 48, 45, 31, 14]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 11, 17, 22, 25, 26, 27, 34, 50, 67, 66, 46, 22]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 18, 25, 32, 36, 37, 36, 40, 57, 86, 100, 78, 39]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10, 19, 29, 36, 39, 37, 37, 47, 61, 58, 37, 14]"
35,Alpha Singers,ChIJeWxaRr6u1TERyqbBJDcnNmI,0.4998015,101.45498409999999,bar,,,,,,,
