,place_name,place_id,lat,lng,type
99,Brocco Vegetable Ice Cream,ChIJmbjom72u1TERslhsn53RLWc,0.5035790000000001,101.455687,cafe
100,NANCY's Fruit Salad,ChIJr20Nmr2u1TERe2OqGmUR_7U,0.503184,101.455646,cafe
101,Markas Jangkriker 2,ChIJe_j1yK2u1TERh8gdouHRLic,0.5079021000000001,101.4383511,cafe
102,Kedai Kopi Kerisweet,ChIJKXglLp-u1TEReJDI44jT4rQ,0.5110669999999999,101.4587935,cafe
103,Temok Cafe (Bakso Temok),ChIJx9CIK6Cu1TERgvQVRCgEDbg,0.5129536000000001,101.4562927,cafe
104,D'Coconut Ice Cream,ChIJq4hX66yu1TER2_odR8e03AQ,0.5095277,101.4356785,cafe
105,Taichan Bang Mali,ChIJ3XxxlSGs1TERm5jw6eSKVwk,0.5135119999999999,101.45681,cafe
106,Markas Jangkrikers,ChIJe5TmmB6s1TERQ_n_e5SsimQ,0.5186694,101.4514118,cafe
107,Dapur Cokelat Pekanbaru,ChIJg5dz7xus1TERV-dqnk8lFLI,0.5207906,101.449843,cafe
108,Sop DurenDuren,ChIJF-JVNVWp1TERNlSGWFlsC5M,0.514187,101.4338929,cafe
109,MooNyusu_Pku,ChIJhSLL88uu1TEReqFeU3H_sqc,0.4926151999999999,101.438453,cafe
110,Kedai Kopi Tanjung Pinang,ChIJnygo5wGs1TER3CcKlFu4A98,0.5098228999999999,101.4311071,cafe
111,JCO Giant Pekan Baru,ChIJVTderE2p1TERWHFnz_Uyhb8,0.503537,101.430636,cafe
112,Masjid Ansharullah,ChIJhZmb67uo1TERvHE-krqO3aU,0.4542092,101.4181076,mosque
113,Masjid Al Mukhlisin,ChIJ8W9wqCKs1TERZzjtCA8JkFQ,0.5239887,101.4568942,mosque
114,Divsos Nadwah Pku,ChIJ91dagrGu1TER8X-IawzM_Ok,0.5039672,101.4400775,mosque
115,Masjid Asy Syakirin Kanwil DJP Riau dan Kepri,ChIJRRdyfx2s1TER0WAZSxwqDxc,0.5154999,101.4480416,mosque
116,Masjid SMAN 8 Pekanbaru,ChIJwX_8-Ziu1TERYcEX7B2eoRs,0.5086183,101.4587815,mosque
117,Musholla Darun na'im Sukaramai,ChIJn2yrMxCs1TEROFCAcUSWFKE,0.5263436,101.4472289,mosque
118,Masjid Agung An Nur Riau Province,ChIJVVVVVVWp1TERfhBex0uoQN4,0.5266630999999999,101.4508545,mosque
119,Masjid An-Nurimah,ChIJn2JMYTOp1TERi4aoLGinOHY,0.4919162,101.4322038,mosque
120,Musholla Mujahiddin,ChIJl-XVag2s1TER5dftavC_Yyo,0.5325626999999998,101.4438717,mosque
121,Masjid Al-Khasyi'in,ChIJ36b0dgys1TERnT5Ie3ePcq0,0.5307603,101.4397921,mosque
122,Masjid Al Jihad,ChIJGy5pagqs1TERV0yP456InPM,0.5305437,101.4345735,mosque
123,Masjid Raya Nur Alam,ChIJPSk42HOs1TER3ATxhK3EREU,0.5379933000000001,101.4422128,mosque
124,MASJID NURUL AMAL,ChIJ856mJjOv1TERKQc3W9Pm4II,0.4663679999999999,101.4350536,mosque
125,Masjid Raudhatul Ma'ruf,ChIJpXK8dRGv1TER9PaCbZZjh4I,0.4653374,101.4650411,mosque
126,Mushala Mujahidin,ChIJ65bC22av1TER2dscIoDhHnw,0.4466763,101.4598755,mosque
127,Masjid Darul Aman,ChIJY0uQsJWo1TER4EbLhXlHOn8,0.456763,101.4090211,mosque
128,Masjid Baiturrahim,ChIJmeWqvs6v1TERPkXnPGjufQA,0.4727129999999999,101.508814,mosque
